raw_q2_id,book_id,title,author,q2_text,q2_status,source_basis,notes
RQ2-0001,1,有限与无限的游戏：一个哲学家眼中的竞技世界,[美]詹姆斯·卡斯,《有限与无限的游戏》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0002,1,有限与无限的游戏：一个哲学家眼中的竞技世界,[美]詹姆斯·卡斯,竞争与合作在何种条件下会发生转换？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0003,2,具身认知：身体如何影响心智,盖伊·克莱斯顿,《具身认知》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0004,2,具身认知：身体如何影响心智,盖伊·克莱斯顿,该书提出了哪些可执行的偏差修正方法？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0005,3,What if？那些古怪又让人忧心的问题,兰道尔·门罗,《What if？那些古怪又让人忧心的问题》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0006,3,What if？那些古怪又让人忧心的问题,兰道尔·门罗,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0007,4,国家的视角：那些试图改善人类状况的项目是如何失败的,詹姆斯·C.斯科特,《国家的视角》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0008,4,国家的视角：那些试图改善人类状况的项目是如何失败的,詹姆斯·C.斯科特,这本书如何解释制度设计与执行之间的张力？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0009,5,诚实的信号,[美]阿莱克斯·彭特兰,《诚实的信号》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0010,5,诚实的信号,[美]阿莱克斯·彭特兰,该书给出了哪些识别反馈回路的具体方法？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0011,6,同步：秩序如何从混沌中涌现,斯蒂芬·斯托加茨,《同步》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0012,6,同步：秩序如何从混沌中涌现,斯蒂芬·斯托加茨,书中的案例如何揭示权力运作的具体机制？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0013,7,混合信号,尤里·格尼茨,《混合信号》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0014,7,混合信号,尤里·格尼茨,这本书如何说明局部优化会触发系统级副作用？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0015,8,想象的共同体,本尼迪克特·安德森,《想象的共同体》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0016,8,想象的共同体,本尼迪克特·安德森,书中的案例如何揭示权力运作的具体机制？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0017,9,自我分析与自我实现,卡伦·霍妮,《自我分析与自我实现》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0018,9,自我分析与自我实现,卡伦·霍妮,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0019,10,是我把你蠢哭了吗,迪安·博内特,《是我把你蠢哭了吗》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0020,10,是我把你蠢哭了吗,迪安·博内特,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0021,11,伊甸之东,[美]约翰·斯坦贝克,《伊甸之东》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0022,11,伊甸之东,[美]约翰·斯坦贝克,作品中的价值冲突如何映射现实处境？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0023,12,咨询的奥秘：寻求和提出建议的智慧,[美]杰拉尔德·M.温伯格,《咨询的奥秘》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0024,12,咨询的奥秘：寻求和提出建议的智慧,[美]杰拉尔德·M.温伯格,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0025,13,为什么：关于因果关系的新科学,[美]朱迪亚·珀尔 [美]达纳·麦肯齐,《为什么》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0026,13,为什么：关于因果关系的新科学,[美]朱迪亚·珀尔 [美]达纳·麦肯齐,书中的系统视角如何改变长期策略设计？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0027,17,什么是权力？,[德]韩炳哲,《什么是权力？》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0028,17,什么是权力？,[德]韩炳哲,该书指出了哪些会导致制度失灵的关键条件？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
