book_id,title,author,metadata_status,metadata_reliable,raw_q2_count,reason
3,What if？那些古怪又让人忧心的问题,兰道尔·门罗,matched,true,2,theme_inference_low_confidence
9,自我分析与自我实现,卡伦·霍妮,matched,true,2,theme_inference_low_confidence
10,是我把你蠢哭了吗,迪安·博内特,matched,true,2,theme_inference_low_confidence
12,咨询的奥秘：寻求和提出建议的智慧,[美]杰拉尔德·M.温伯格,matched,true,2,theme_inference_low_confidence
20,规则的悖论,大卫·格雷伯,matched,true,2,theme_inference_low_confidence
21,人性中的善良天使：暴力为什么会减少,斯蒂芬·平克,matched,true,2,theme_inference_low_confidence
22,自私的基因,理查德·道金斯,matched,true,2,theme_inference_low_confidence
25,今日简史：人类命运大议题,尤瓦尔·赫拉利,matched,true,2,theme_inference_low_confidence
26,未来简史：从智人到智神,尤瓦尔·赫拉利,matched,true,2,theme_inference_low_confidence
28,罐头厂街,约翰·斯坦贝克,matched,true,2,theme_inference_low_confidence
29,How to：如何不切实际地解决实际问题,兰道尔·门罗,matched,true,2,theme_inference_low_confidence
31,地下室手记,[俄]陀思妥耶夫斯基,matched,true,2,theme_inference_low_confidence
32,弱者的武器,詹姆斯·C.斯科特,matched,true,2,theme_inference_low_confidence
33,背德者,[法]安德烈·纪德,matched,true,2,theme_inference_low_confidence
34,无穷的开始：世界进步的本源,戴维·多伊奇,matched,true,2,theme_inference_low_confidence
36,从细菌到巴赫再回来,[美]丹尼尔·丹尼特,matched,true,2,theme_inference_low_confidence
37,我们为什么做出不利于自己的行为,马克·郭士顿 菲利普·戈德堡,matched,true,2,theme_inference_low_confidence
40,窄门,[法]安德烈·纪德,matched,true,2,theme_inference_low_confidence
43,巴比伦最富有的人,[美]乔治·S.克拉森,matched,true,2,theme_inference_low_confidence
44,清醒思考的艺术,罗尔夫·多贝里,matched,true,2,theme_inference_low_confidence
45,焚舟纪,安吉拉·卡特,matched,true,2,theme_inference_low_confidence
46,卓越基因,[美]吉姆·柯林斯 比尔·拉齐尔,matched,true,2,theme_inference_low_confidence
48,凯列班与女巫：妇女、身体与原始积累,西尔维娅·费代里奇,matched,true,2,theme_inference_low_confidence
49,萨德式女人：文化史的操练,安吉拉·卡特,matched,true,2,theme_inference_low_confidence
52,谣言：世界最古老的传媒,让-诺埃尔·卡普费雷,matched,true,2,theme_inference_low_confidence
55,助推,[美]理查德·塞勒 [美]卡斯·桑斯坦,matched,true,2,theme_inference_low_confidence
57,大师和玛格丽特,布尔加科夫,matched,true,2,theme_inference_low_confidence
61,异类：不一样的成功启示录,[加]马尔科姆·格拉德威尔,matched,true,2,theme_inference_low_confidence
62,查令十字街84号,海莲·汉芙,matched,true,2,theme_inference_low_confidence
63,涅朵奇卡：一个女人的一生,陀思妥耶夫斯基,matched,true,2,theme_inference_low_confidence
64,大地之上,罗欣顿·米斯特里,matched,true,2,theme_inference_low_confidence
66,爱玛,简·奥斯汀,matched,true,2,theme_inference_low_confidence
69,绿灯,马修·麦康纳,matched,true,2,theme_inference_low_confidence
70,谁动了我的奶酪,斯宾塞·约翰逊,matched,true,2,theme_inference_low_confidence
71,谁动了我的奶酪2：走出迷宫,斯宾塞·约翰逊,matched,true,2,theme_inference_low_confidence
72,轻松主义：让关键的事情变得容易做,[美]格雷戈·麦吉沃恩,matched,true,2,theme_inference_low_confidence
